6,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,6,8,40,0.00027660001069307327
7,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC2,7,8,38,0.0003518001176416874
8,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC3,8,7,39,0.000323600135743618
9,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,COMAR,HPC3,9,7,37,0.000736200250685215
10,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,10,8,20,0.0003796000964939594
11,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.000399900134652853
12,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.000273700337857008
13,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,13,7,23,0.0002856999635696411
14,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.0007775998674333096
15,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC3,14,6,24,0.00034479983150959015
16,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,16,6,26,0.0002880999818444252
17,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.00025739986449480057
18,HPC3,HPC3,HPC3,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,17,5,27,0.00032369978725910187
19,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC2,19,5,29,0.0003164997324347496
20,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,20,4,30,0.0005816002376377583
