target_randomness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,total_randomness,total_latency,total_area,execution_time
6,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,6,8,40,0.00032169977203011513
7,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC2,7,8,38,0.00032430002465844154
8,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC3,8,7,39,0.0003466997295618057
9,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,COMAR,HPC3,9,7,37,0.000382500234991312
10,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,10,8,20,0.00025090016424655914
11,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.00024900026619434357
12,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.0002570999786257744
13,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.00036219973117113113
14,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.0004060002975165844
15,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.0003324998542666435
16,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.0002845996059477329
17,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.00027299998328089714
18,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.00029979972168803215
19,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.000314599834382534
20,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,20,4,30,0.000439399853348732
